Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Fname,Customer Id,Customer Lname,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode
DEBIT,2,2,-112.98,464.95,Shipping on time,0,9,Cardio Equipment,Bensalem,EE. UU.,Donald,11971,Klein,Corporate,PA,4940 Velvet Timber Cape,19020.0,3,Footwear,40.1096344,-74.91246033,Europe,Southend-on-Sea,Reino Unido,11971,35.0,0.07,99.99,-0.24,5,499.95,464.95,-112.98,Northern Europe,Inglaterra,COMPLETE,Nike Men's Free 5.0+ Running Shoe,99.99,Second Class
DEBIT,5,4,-194.99,129.99,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,Joyce,11302,Atkins,Consumer,PR,4877 Little Moor,725.0,4,Apparel,18.2063961,-66.37051392,Africa,Cairo,Egipto,11302,0.0,0.0,129.99,-1.5,1,129.99,129.99,-194.99,North Africa,El Cairo,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class
TRANSFER,6,4,44.63,94.96,Late delivery,1,46,Indoor/Outdoor Games,Brooklyn,EE. UU.,Mary,5341,West,Home Office,NY,5492 Blue View,11230.0,7,Fan Shop,40.62810135,-73.96759033,USCA,New York City,Estados Unidos,5341,5.0,0.05,49.98,0.47,2,99.96,94.96,44.63,East of USA,Nueva York,PROCESSING,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
PAYMENT,5,2,109.61,377.98,Late delivery,1,45,Fishing,Caguas,Puerto Rico,Benjamin,8133,Riddle,Home Office,PR,7046 Sleepy Berry Estates,725.0,7,Fan Shop,18.2833519,-66.37052155,LATAM,Buenos Aires,Argentina,8133,22.0,0.06,399.98,0.29,1,399.98,377.98,109.61,South America,Buenos Aires,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Second Class
TRANSFER,2,4,6.27,99.58,Advance shipping,0,17,Cleats,Los Angeles,EE. UU.,Ruth,4535,Brown,Consumer,CA,4851 Green Rise,90066.0,4,Apparel,34.0015831,-118.4321518,Pacific Asia,Semarang,Indonesia,4535,20.4,0.17,59.99,0.06,2,119.98,99.58,6.27,Southeast Asia,Java Central,PROCESSING,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
PAYMENT,6,4,79.8,190.0,Late delivery,1,24,Women's Apparel,Caguas,Puerto Rico,Kevin,9372,Jarvis,Consumer,PR,4920 Gentle Autoroute,725.0,5,Golf,18.27796936,-66.37060547,Europe,Woking,Reino Unido,9372,10.0,0.05,50.0,0.42,4,200.0,190.0,79.8,Northern Europe,Inglaterra,PENDING_PAYMENT,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class
CASH,2,2,-442.19,170.07,Shipping on time,0,17,Cleats,Bronx,EE. UU.,Barbara,11185,Smith,Home Office,NY,6894 Heather Estates,10453.0,4,Apparel,40.85337067,-73.90963745,Pacific Asia,Gold Coast,Australia,11185,9.9,0.06,59.99,-2.6,3,179.97,170.07,-442.19,Oceania,Queensland,CLOSED,Perfect Fitness Perfect Rip Deck,59.99,Second Class
PAYMENT,2,1,121.99,248.96,Late delivery,1,17,Cleats,San Benito,EE. UU.,Mary,808,Smith,Consumer,TX,4896 Silver By-pass,78586.0,4,Apparel,32.80872345,-96.72189331,LATAM,Managua,Nicaragua,808,50.99,0.17,59.99,0.49,5,299.95,248.96,121.99,Central America,Managua,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99,First Class
TRANSFER,6,4,-105.21,442.04,Late delivery,1,68,Garden,Caguas,Puerto Rico,Leila,15543,Long,Consumer,PR,5182 Cotton Heath,725.0,6,Outdoors,18.22275543,-66.03705597,Pacific Asia,Fushun,China,15543,90.54,0.17,532.58,-0.24,1,532.58,442.04,-105.21,Eastern Asia,Liaoning,PENDING,Lawn mower,532.58,Standard Class
PAYMENT,0,0,113.88,232.41,Shipping on time,0,46,Indoor/Outdoor Games,Hacienda Heights,EE. UU.,Mary,7600,Tucker,Consumer,CA,8675 Quaking Nook,91745.0,7,Fan Shop,33.97686005,-117.9696121,Pacific Asia,Hamadán,Irán,7600,17.49,0.07,49.98,0.49,5,249.9,232.41,113.88,South Asia,Hamadán,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Same Day
DEBIT,6,4,11.76,42.0,Late delivery,1,24,Women's Apparel,Catonsville,EE. UU.,Roger,356,Smith,Consumer,MD,8613 Merry Blossom Canyon,21228.0,5,Golf,39.28148651,-76.73960877,LATAM,Managua,Nicaragua,356,8.0,0.16,50.0,0.28,1,50.0,42.0,11.76,Central America,Managua,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class
